Country,Region
SWITZERLAND,Western Europe
ICELAND,Western Europe
DENMARK,Western Europe
NORWAY,Western Europe
CANADA,North America
FINLAND,Western Europe
NETHERLANDS,Western Europe
SWEDEN,Western Europe
NEW ZEALAND,Australia and New Zealand
AUSTRALIA,Australia and New Zealand
ISRAEL,Middle East and Northern Africa
COSTA RICA,Latin America and Caribbean
AUSTRIA,Western Europe
MEXICO,Latin America and Caribbean
UNITED STATES,North America
BRAZIL,Latin America and Caribbean
LUXEMBOURG,Western Europe
IRELAND,Western Europe
BELGIUM,Western Europe
UNITED ARAB EMIRATES,Middle East and Northern Africa
UNITED KINGDOM,Western Europe
OMAN,Middle East and Northern Africa
VENEZUELA,Latin America and Caribbean
SINGAPORE,Southeastern Asia
PANAMA,Latin America and Caribbean
GERMANY,Western Europe
CHILE,Latin America and Caribbean
QATAR,Middle East and Northern Africa
FRANCE,Western Europe
ARGENTINA,Latin America and Caribbean
CZECH REPUBLIC,Central and Eastern Europe
URUGUAY,Latin America and Caribbean
COLOMBIA,Latin America and Caribbean
THAILAND,Southeastern Asia
SAUDI ARABIA,Middle East and Northern Africa
SPAIN,Western Europe
MALTA,Western Europe
TAIWAN,Eastern Asia
KUWAIT,Middle East and Northern Africa
SURINAME,Latin America and Caribbean
TRINIDAD AND TOBAGO,Latin America and Caribbean
EL SALVADOR,Latin America and Caribbean
GUATEMALA,Latin America and Caribbean
UZBEKISTAN,Central and Eastern Europe
SLOVAKIA,Central and Eastern Europe
JAPAN,Eastern Asia
SOUTH KOREA,Eastern Asia
ECUADOR,Latin America and Caribbean
BAHRAIN,Middle East and Northern Africa
ITALY,Western Europe
BOLIVIA,Latin America and Caribbean
MOLDOVA,Central and Eastern Europe
PARAGUAY,Latin America and Caribbean
KAZAKHSTAN,Central and Eastern Europe
SLOVENIA,Central and Eastern Europe
LITHUANIA,Central and Eastern Europe
NICARAGUA,Latin America and Caribbean
PERU,Latin America and Caribbean
BELARUS,Central and Eastern Europe
POLAND,Central and Eastern Europe
MALAYSIA,Southeastern Asia
CROATIA,Central and Eastern Europe
LIBYA,Middle East and Northern Africa
RUSSIA,Central and Eastern Europe
JAMAICA,Latin America and Caribbean
NORTH CYPRUS,Western Europe
CYPRUS,Western Europe
ALGERIA,Middle East and Northern Africa
KOSOVO,Central and Eastern Europe
TURKMENISTAN,Central and Eastern Europe
MAURITIUS,Sub-Saharan Africa
HONG KONG,Eastern Asia
ESTONIA,Central and Eastern Europe
INDONESIA,Southeastern Asia
VIETNAM,Southeastern Asia
TURKEY,Middle East and Northern Africa
KYRGYZSTAN,Central and Eastern Europe
NIGERIA,Sub-Saharan Africa
BHUTAN,Southern Asia
AZERBAIJAN,Central and Eastern Europe
PAKISTAN,Southern Asia
MONTENEGRO,Central and Eastern Europe
JORDAN,Middle East and Northern Africa
CHINA,Eastern Asia
ZAMBIA,Sub-Saharan Africa
ROMANIA,Central and Eastern Europe
SERBIA,Central and Eastern Europe
PORTUGAL,Western Europe
LATVIA,Central and Eastern Europe
PHILIPPINES,Southeastern Asia
SOMALILAND REGION,Sub-Saharan Africa
MOROCCO,Middle East and Northern Africa
MACEDONIA,Central and Eastern Europe
MOZAMBIQUE,Sub-Saharan Africa
ALBANIA,Central and Eastern Europe
BOSNIA AND HERZEGOVINA,Central and Eastern Europe
LESOTHO,Sub-Saharan Africa
DOMINICAN REPUBLIC,Latin America and Caribbean
LAOS,Southeastern Asia
MONGOLIA,Eastern Asia
SWAZILAND,Sub-Saharan Africa
GREECE,Western Europe
LEBANON,Middle East and Northern Africa
HUNGARY,Central and Eastern Europe
HONDURAS,Latin America and Caribbean
TAJIKISTAN,Central and Eastern Europe
TUNISIA,Middle East and Northern Africa
PALESTINIAN TERRITORIES,Middle East and Northern Africa
BANGLADESH,Southern Asia
IRAN,Middle East and Northern Africa
UKRAINE,Central and Eastern Europe
IRAQ,Middle East and Northern Africa
SOUTH AFRICA,Sub-Saharan Africa
GHANA,Sub-Saharan Africa
ZIMBABWE,Sub-Saharan Africa
LIBERIA,Sub-Saharan Africa
INDIA,Southern Asia
SUDAN,Sub-Saharan Africa
HAITI,Latin America and Caribbean
NEPAL,Southern Asia
ETHIOPIA,Sub-Saharan Africa
SIERRA LEONE,Sub-Saharan Africa
MAURITANIA,Sub-Saharan Africa
KENYA,Sub-Saharan Africa
DJIBOUTI,Sub-Saharan Africa
ARMENIA,Central and Eastern Europe
BOTSWANA,Sub-Saharan Africa
MYANMAR,Southeastern Asia
GEORGIA,Central and Eastern Europe
MALAWI,Sub-Saharan Africa
SRI LANKA,Southern Asia
CAMEROON,Sub-Saharan Africa
BULGARIA,Central and Eastern Europe
EGYPT,Middle East and Northern Africa
YEMEN,Middle East and Northern Africa
ANGOLA,Sub-Saharan Africa
MALI,Sub-Saharan Africa
COMOROS,Sub-Saharan Africa
UGANDA,Sub-Saharan Africa
SENEGAL,Sub-Saharan Africa
GABON,Sub-Saharan Africa
NIGER,Sub-Saharan Africa
CAMBODIA,Southeastern Asia
TANZANIA,Sub-Saharan Africa
MADAGASCAR,Sub-Saharan Africa
CENTRAL AFRICAN REPUBLIC,Sub-Saharan Africa
CHAD,Sub-Saharan Africa
GUINEA,Sub-Saharan Africa
IVORY COAST,Sub-Saharan Africa
BURKINA FASO,Sub-Saharan Africa
AFGHANISTAN,Southern Asia
RWANDA,Sub-Saharan Africa
BENIN,Sub-Saharan Africa
SYRIA,Middle East and Northern Africa
BURUNDI,Sub-Saharan Africa
TOGO,Sub-Saharan Africa
PUERTO RICO,Latin America and Caribbean
BELIZE,Latin America and Caribbean
SOMALIA,Sub-Saharan Africa
SOMALILAND REGION,Sub-Saharan Africa
NAMIBIA,Sub-Saharan Africa
SOUTH SUDAN,Sub-Saharan Africa
CONGO (KINSHASA),Central Africa
CONGO (BRAZZAVILLE),Central Africa
